Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
1,201903280,boxscore,SDP,SFG,W,2,0,,1-0,1, Tied,Lauer,Bumgarner,Yates,2:18,D,"44,655",+,,True,Ted Barrett,Lance Barksdale,John Tumpane,Ramon De Jesus,68° F,12mph from Left to Right,Cloudy,1:12 p.m. Local,Petco Park,grass,10,2019
3,201903280,boxscore,SEA,BOS,W,12,4,,3-0,1,up 1.0,Gonzales,Sale,,3:34,D,"45,600",+++,,True,Larry Vanover,Alfonso Marquez,Dan Bellino,David Rackley,61° F,2mph out to Rightfield,Sunny,4:11 p.m. Local,T-Mobile Park,grass,11,2019
1,201903280,boxscore,TBR,HOU,L,1,5,,0-1,2, 1.0,Verlander,Snell,,2:38,D,"25,025",-,,True,Sam Holbrook,Dan Iassogna,Jim Wolf,Manny Gonzalez,72° F,0mph,In Dome,4:00 p.m. Local,Tropicana Field,turf,12,2019
1,201903280,boxscore,TEX,CHC,L,4,12,,0-1,3, 2.0,Lester,Minor,,3:07,D,"48,538",-,,True,Jeff Kellogg,Brian O'Nora,James Hoye,Mark Ripperger,73° F,18mph from Right to Left,Overcast,3:08 p.m. Local,Globe Life Park in Arlington,grass,13,2019
1,201903280,boxscore,TOR,DET,L,0,2,10,0-1,2, 1.0,Alcantara,Hudson,Greene,2:25,D,"45,048",-,,True,Dana DeMuth,Angel Hernandez,Ed Hickox,Chad Whitson,68° F,0mph,In Dome,4:08 p.m. Local,Rogers Centre,turf,14,2019
1,201903280,boxscore,WSN,NYM,L,0,2,,0-1,3, 1.0,deGrom,Scherzer,Diaz,2:44,D,"42,263",-,,True,Bill Miller,Doug Eddings,Carlos Torres,Chris Conroy,56° F,3mph from Right to Left,Cloudy,1:07 p.m. Local,Nationals Park,grass,15,2019
1,201903280,boxscore,MIL,STL,W,5,4,,1-0,1, Tied,Chacin,Mikolas,Hader,2:36,D,"45,304",+,,True,Gary Cederstrom,Marvin Hudson,Adrian Johnson,Quinn Wolcott,66° F,0mph,In Dome,1:10 p.m. Local,Miller Park,grass,16,2019
4,201903290,boxscore,SEA,BOS,L,6,7,,3-1,1,up 1.0,Johnson,Strickland,Barnes,3:20,N,"29,002",-,,True,Alfonso Marquez,Dan Bellino,David Rackley,Larry Vanover,58° F,1mph out to Rightfield,Cloudy,7:11 p.m. Local,T-Mobile Park,grass,17,2019
2,201903290,boxscore,LAD,ARI,L,4,5,13,1-1,3, 1.0,Andriese,Garcia,Holland,6:05,N,"42,266",-,,True,Scott Barry,Tripp Gibson,Nic Lentz,Brian Gorman,64° F,1mph from Left to Right,Sunny,7:10 p.m. Local,Dodger Stadium,grass,18,2019
2,201903290,boxscore,MIA,COL,L,1,6,,0-2,5, 1.5,Marquez,Conley,,3:04,N,"6,503",--,,True,Greg Gibson,Brian Knight,Pat Hoberg,Gerry Davis,70° F,0mph,In Dome,7:10 p.m. Local,Marlins Park,grass,19,2019
2,201903290,boxscore,TBR,HOU,W,4,2,,1-1,2, 0.5,Morton,Cole,Alvarado,2:38,N,"13,059",+,,True,Dan Iassogna,Jim Wolf,Manny Gonzalez,Sam Holbrook,72° F,0mph,In Dome,7:09 p.m. Local,Tropicana Field,turf,20,2019
2,201903290,boxscore,TOR,DET,W,6,0,,1-1,2, 0.5,Shoemaker,Boyd,,2:28,N,"18,054",+,,True,Angel Hernandez,Ed Hickox,Chad Whitson,Dana DeMuth,68° F,0mph,In Dome,7:07 p.m. Local,Rogers Centre,turf,21,2019
2,201903290,boxscore,MIL,STL,L,5,9,,1-1,3, 0.5,Gant,Williams,,3:41,N,"30,157",-,,True,Marvin Hudson,Adrian Johnson,Quinn Wolcott,Gary Cederstrom,64° F,0mph,In Dome,7:10 p.m. Local,Miller Park,grass,22,2019
2,201903290,boxscore,SDP,SFG,W,4,1,,2-0,1, Tied,Lucchesi,Holland,Yates,3:07,N,"33,769",++,,True,Lance Barksdale,John Tumpane,Ramon De Jesus,Ted Barrett,62° F,12mph from Left to Right,Sunny,7:11 p.m. Local,Petco Park,grass,23,2019
4,201903290,boxscore,OAK,LAA,L,2,6,,1-3,5, 2.0,Robles,Soria,,2:52,N,"22,585",-,,True,Bill Welke,Chris Guccione,Lance Barrett,Mike Everitt,57° F,14mph out to Rightfield,Cloudy,7:08 p.m. Local,Oakland-Alameda County Coliseum,grass,24,2019
2,201903300,boxscore,PHI,ATL,W,8,6,,2-0,1, Tied,Morgan,Parsons,,3:27,D,"44,597",++,,True,Tim Timmons,Rob Drake,Mike Muchlinski,Mike Winters,76° F,17mph out to Centerfield,Cloudy,4:06 p.m. Local,Citizens Bank Park,grass,25,2019
2,201903300,boxscore,KCR,CHW,W,8,6,,2-0,1,up 1.0,Junis,Lopez,Kennedy,3:16,D,"13,533",++,,True,Ron Kulpa,Marty Foster,Gabe Morales,Jerry Meals,38° F,18mph from Left to Right,Cloudy,1:45 p.m. Local,Kauffman Stadium,grass,26,2019
3,201903300,boxscore,LAD,ARI,W,18,5,,2-1,1, Tied,Maeda,Godley,,3:14,N,"50,626",+,,True,Tripp Gibson,Nic Lentz,Brian Gorman,Bill Welke,75° F,7mph from Left to Right,Sunny,6:11 p.m. Local,Dodger Stadium,grass,27,2019
3,201903300,boxscore,SDP,SFG,L,2,3,,2-1,1, Tied,Rodriguez,Margevicius,Smith,3:10,N,"41,899",-,,True,John Tumpane,Ramon De Jesus,Ted Barrett,Lance Barksdale,70° F,13mph from Left to Right,Sunny,5:43 p.m. Local,Petco Park,grass,28,2019
3,201903300,boxscore,TBR,HOU,W,3,1,,2-1,1, Tied,Glasnow,McHugh,Alvarado,2:40,N,"16,010",++,,True,Jim Wolf,Manny Gonzalez,Sam Holbrook,Dan Iassogna,72° F,0mph,In Dome,6:10 p.m. Local,Tropicana Field,turf,29,2019
3,201903300,boxscore,TOR,DET,W,3,0,,2-1,1, Tied,Sanchez,Turnbull,Giles,3:00,D,"25,429",++,,True,Ed Hickox,Chad Whitson,Dana DeMuth,Angel Hernandez,68° F,0mph,In Dome,3:07 p.m. Local,Rogers Centre,turf,30,2019
5,201903300,boxscore,SEA,BOS,W,6,5,,4-1,1,up 1.5,Leake,Rodriguez,Rumbelow,3:10,N,"34,933",+,,True,Dan Bellino,David Rackley,Larry Vanover,Alfonso Marquez,64° F,2mph from Left to Right,Sunny,6:10 p.m. Local,T-Mobile Park,grass,31,2019
2,201903300,boxscore,TEX,CHC,W,8,6,,1-1,2, 1.5,Kelley,Edwards,Leclerc,3:47,N,"46,238",+,,True,Brian O'Nora,James Hoye,Mark Ripperger,Jeff Kellogg,51° F,19mph from Left to Right,Cloudy,7:06 p.m. Local,Globe Life Park in Arlington,grass,32,2019
2,201903300,boxscore,MIN,CLE,L,1,2,,1-1,2, 1.0,Edwards,Parker,Hand,3:00,D,"15,271",-,,True,Phil Cuzzi,Todd Tichenor,Adam Hamari,Tom Hallion,34° F,17mph in from Leftfield,Sunny,1:12 p.m. Local,Target Field,grass,33,2019
3,201903300,boxscore,MIA,COL,W,7,3,,1-2,3, 1.5,Lopez,Anderson,,3:00,N,"7,642",+,,True,Brian Knight,Pat Hoberg,Gerry Davis,Greg Gibson,75° F,15mph in from Leftfield,Cloudy,6:10 p.m. Local,Marlins Park,grass,34,2019
2,201903300,boxscore,WSN,NYM,L,8,11,,0-2,4, 2.0,Wilson,Rosenthal,Diaz,3:50,D,"33,765",--,,True,Doug Eddings,Carlos Torres,Chris Conroy,Bill Miller,69° F,11mph out to Leftfield,Cloudy,1:05 p.m. Local,Nationals Park,grass,35,2019
2,201903300,boxscore,NYY,BAL,L,3,5,,1-1,3, 0.5,Yacabonis,Paxton,Wright,3:24,D,"42,203",-,,True,Paul Nauert,CB Bucknor,D.J. Reyburn,Fieldin Culbreth,61° F,12mph from Left to Right,Sunny,1:08 p.m. Local,Yankee Stadium III,grass,36,2019
5,201903300,boxscore,OAK,LAA,W,4,2,,2-3,3, 2.0,Anderson,Pena,Treinen,2:42,N,"16,051",+,,True,Chris Guccione,Lance Barrett,Mike Everitt,Nick Mahrley,63° F,12mph out to Rightfield,Sunny,6:07 p.m. Local,Oakland-Alameda County Coliseum,grass,37,2019
3,201903300,boxscore,MIL,STL,W,4,2,,2-1,1, Tied,Woodruff,Hudson,Hader,3:07,N,"36,655",+,,True,Adrian Johnson,Quinn Wolcott,Gary Cederstrom,Marvin Hudson,62° F,0mph,In Dome,6:10 p.m. Local,Miller Park,grass,38,2019
3,201903310,boxscore,TEX,CHC,W-wo,11,10,,2-1,2, 1.5,Leclerc,Strop,,3:46,D,"36,812",++,,True,James Hoye,Mark Ripperger,Jeff Kellogg,Brian O'Nora,54° F,6mph from Left to Right,Cloudy,3:08 p.m. Local,Globe Life Park in Arlington,grass,39,2019
4,201903310,boxscore,TBR,HOU,W,3,1,,3-1,1,up 0.5,Chirinos,Miley,Castillo,2:12,D,"18,473",+++,,True,Manny Gonzalez,Sam Holbrook,Dan Iassogna,Jim Wolf,72° F,0mph,In Dome,1:11 p.m. Local,Tropicana Field,turf,40,2019
4,201903310,boxscore,TOR,DET,L,3,4,11,2-2,3, 1.0,Stumpf,Pannone,Greene,3:17,D,"16,098",-,,True,Chad Whitson,Dana DeMuth,Angel Hernandez,Ed Hickox,68° F,0mph,In Dome,1:07 p.m. Local,Rogers Centre,turf,41,2019
2,201903310,boxscore,CIN,PIT,L,0,5,,1-1,2, 1.0,Williams,Gray,,3:15,D,"18,737",-,,True,Eric Cooper,Andy Fletcher,Will Little,Joe West,35° F,13mph out to Centerfield,Cloudy,1:13 p.m. Local,Great American Ball Park,grass,42,2019
4,201903310,boxscore,MIL,STL,W-wo,5,4,,3-1,1,up 1.0,Barnes,Hicks,,2:54,D,"35,042",++,,True,Quinn Wolcott,Gary Cederstrom,Marvin Hudson,Adrian Johnson,60° F,0mph,In Dome,1:10 p.m. Local,Miller Park,grass,43,2019
6,201903310,boxscore,OAK,LAA,W,2,1,,3-3,3, 2.0,Montas,Skaggs,Treinen,2:40,D,"23,265",++,,True,Lance Barrett,Mike Everitt,Nick Mahrley,Chris Guccione,68° F,8mph out to Rightfield,Sunny,1:07 p.m. Local,Oakland-Alameda County Coliseum,grass,44,2019
4,201903310,boxscore,MIA,COL,W,3,0,,2-2,3, 1.5,Alcantara,Gray,Romo,2:32,D,"7,559",++,,True,Pat Hoberg,Gerry Davis,Greg Gibson,Brian Knight,75° F,10mph in from Rightfield,Cloudy,1:10 p.m. Local,Marlins Park,grass,45,2019
3,201903310,boxscore,PHI,ATL,W,5,1,,3-0,1,up 1.0,Arrieta,Wright,,3:17,N,"41,410",+++,,True,Rob Drake,Mike Muchlinski,Mike Winters,Tim Timmons,52° F,17mph from Left to Right,Cloudy,7:08 p.m. Local,Citizens Bank Park,grass,46,2019
3,201903310,boxscore,WSN,NYM,W-wo,6,5,,1-2,4, 2.0,Doolittle,Wilson,,3:15,D,"23,430",+,,True,Carlos Torres,Chris Conroy,Bill Miller,Doug Eddings,55° F,16mph in from Leftfield,Cloudy,1:35 p.m. Local,Nationals Park,grass,47,2019
4,201903310,boxscore,SDP,SFG,W,3,1,,3-1,1, Tied,Warren,Vincent,Yates,2:47,D,"38,444",+,,True,Ramon De Jesus,Ted Barrett,Lance Barksdale,John Tumpane,81° F,7mph from Left to Right,Sunny,1:11 p.m. Local,Petco Park,grass,48,2019
3,201903310,boxscore,KCR,CHW,L,3,6,,2-1,1, Tied,Giolito,Lopez,Colome,2:57,D,"12,669",-,,True,Marty Foster,Gabe Morales,Jerry Meals,Ron Kulpa,40° F,4mph from Left to Right,Sunny,1:14 p.m. Local,Kauffman Stadium,grass,49,2019
6,201903310,boxscore,SEA,BOS,W,10,8,,5-1,1,up 1.5,LeBlanc,Porcello,Bradford,3:39,D,"33,393",++,,True,David Rackley,Larry Vanover,Alfonso Marquez,Dan Bellino,54° F,5mph out to Centerfield,Sunny,1:10 p.m. Local,T-Mobile Park,grass,50,2019
4,201903310,boxscore,LAD,ARI,W,8,7,,3-1,1, Tied,Floro,Hirano,Jansen,3:29,D,"43,815",++,,True,Nic Lentz,Brian Gorman,Bill Welke,Tripp Gibson,82° F,4mph out to Rightfield,Sunny,1:10 p.m. Local,Dodger Stadium,grass,51,2019
3,201903310,boxscore,NYY,BAL,L,5,7,,1-2,4, 1.5,Means,Happ,Fry,3:48,D,"38,419",--,,True,CB Bucknor,D.J. Reyburn,Fieldin Culbreth,Paul Nauert,47° F,18mph in from Rightfield,Cloudy,4:22 p.m. Local,Yankee Stadium III,grass,52,2019
3,201903310,boxscore,MIN,CLE,W,9,3,,2-1,1, Tied,Perez,Carrasco,,2:39,D,"15,613",+,,True,Todd Tichenor,Adam Hamari,Tom Hallion,Phil Cuzzi,34° F,7mph out to Leftfield,Cloudy,1:13 p.m. Local,Target Field,grass,53,2019
4,201904010,boxscore,ATL,CHC,W,8,0,,1-3,5, 2.5,Parsons,Hendricks,,3:12,N,"41,912",+,,True,Gary Cederstrom,Marvin Hudson,Adrian Johnson,Quinn Wolcott,58° F,4mph from Left to Right,Sunny,7:12 p.m. Local,SunTrust Park,grass,54,2019
5,201904010,boxscore,SDP,ARI,L,3,10,,3-2,1, Tied,Kelly,Strahm,Duplantier,3:04,N,"18,683",-,,True,Mike Everitt,Bill Welke,Chris Guccione,Lance Barrett,65° F,8mph from Left to Right,Cloudy,7:11 p.m. Local,Petco Park,grass,55,2019
4,201904010,boxscore,TEX,HOU,L,1,2,,2-2,3, 2.5,Peacock,Sampson,Osuna,2:39,N,"18,056",-,,True,Gabe Morales,Jerry Meals,Ron Kulpa,Marty Foster,60° F,4mph from Left to Right,Sunny,7:07 p.m. Local,Globe Life Park in Arlington,grass,56,2019
4,201904010,boxscore,CLE,CHW,W,5,3,,2-2,3, 0.5,Edwards,Covey,Hand,3:02,D,"34,519",+,,True,Dana DeMuth,Angel Hernandez,Ed Hickox,Carlos Torres,37° F,6mph from Left to Right,Sunny,4:10 p.m. Local,Progressive Field,grass,57,2019
3,201904010,boxscore,CIN,MIL,L,3,4,,1-2,2, 2.0,Wilson,Iglesias,Hader,3:31,N,"7,799",--,,True,Jeff Nelson,Laz Diaz,Tony Randazzo,Cory Blaser,47° F,4mph from Left to Right,Cloudy,6:40 p.m. Local,Great American Ball Park,grass,58,2019
7,201904010,boxscore,SEA,LAA,W,6,3,,6-1,1,up 2.0,Hernandez,Stratton,Elias,3:20,N,"14,459",+++,,True,Mark Wegner,Jim Reynolds,Alan Porter,Stu Scheurwater,66° F,2mph in from Leftfield,Cloudy,7:10 p.m. Local,T-Mobile Park,grass,59,2019
5,201904010,boxscore,LAD,SFG,L,2,4,,3-2,1, Tied,Gott,Kelly,Smith,2:59,N,"40,477",-,,True,Larry Vanover,Alfonso Marquez,Dan Bellino,David Rackley,72° F,3mph from Left to Right,Cloudy,7:11 p.m. Local,Dodger Stadium,grass,60,2019
4,201904010,boxscore,NYY,DET,W,3,1,,2-2,3, 1.5,German,Ross,Chapman,2:43,N,"32,036",+,,True,Gerry Davis,Brian Knight,Jeremie Rehak,Pat Hoberg,45° F,13mph out to Leftfield,Sunny,6:39 p.m. Local,Yankee Stadium III,grass,61,2019
5,201904010,boxscore,TOR,BAL,L,5,6,,2-3,4, 2.0,Hess,Reid-Foley,Bleier,2:46,N,"10,460",--,,True,Chris Conroy,Bill Miller,Jansen Visconti,Doug Eddings,68° F,0mph,In Dome,7:08 p.m. Local,Rogers Centre,turf,62,2019
5,201904010,boxscore,TBR,COL,W,7,1,,4-1,1,up 0.5,Yarbrough,Bettis,,2:54,N,"10,860",++++,,True,Andy Fletcher,Will Little,Joe West,Eric Cooper,72° F,0mph,In Dome,7:10 p.m. Local,Tropicana Field,turf,63,2019
7,201904010,boxscore,OAK,BOS,W,7,0,,4-3,2, 2.0,Brooks,Price,,2:42,N,"12,417",+++,,True,Kerwin Danley,Greg Gibson,Tripp Gibson,Nic Lentz,62° F,8mph out to Rightfield,Cloudy,7:08 p.m. Local,Oakland-Alameda County Coliseum,grass,64,2019
3,201904010,boxscore,PIT,STL,L,5,6,11,1-2,2, 2.0,Hicks,Brault,Gant,4:50,D,"37,336",-,,True,Jerry Layne,Hunter Wendelstedt,Vic Carapazza,Jordan Baker,37° F,4mph out to Leftfield,Cloudy,1:09 p.m. Local,PNC Park,grass,65,2019
5,201904010,boxscore,MIA,NYM,L,3,7,,2-3,3, 2.0,Familia,Steckenrider,,3:10,N,"6,489",-,,True,Sam Holbrook,Dan Iassogna,Jim Wolf,Manny Gonzalez,75° F,12mph from Right to Left,Sunny,7:10 p.m. Local,Marlins Park,grass,66,2019
5,201904020,boxscore,NYY,DET,L,1,3,,2-3,3, 2.5,Jimenez,Chapman,Greene,2:41,N,"32,018",-,,True,Brian Knight,Jeremie Rehak,Pat Hoberg,Gerry Davis,45° F,12mph out to Rightfield,Cloudy,6:38 p.m. Local,Yankee Stadium III,grass,67,2019
4,201904020,boxscore,KCR,MIN,L,4,5,10,2-2,2, 1.0,Hildenberger,Boxberger,Parker,3:30,N,"10,024",--,,True,Mark Ripperger,Jeff Kellogg,Brian O'Nora,James Hoye,54° F,4mph from Left to Right,Cloudy,7:15 p.m. Local,Kauffman Stadium,grass,68,2019
6,201904020,boxscore,SDP,ARI,L,5,8,,3-3,2, 1.0,Greinke,Lauer,Holland,3:21,N,"22,504",--,,True,Bill Welke,Chris Guccione,Lance Barrett,Mike Everitt,63° F,8mph from Left to Right,Cloudy,7:12 p.m. Local,Petco Park,grass,69,2019
6,201904020,boxscore,TBR,COL,W,4,0,,5-1,1,up 0.5,Snell,Freeland,,2:50,N,"10,933",+++++,,True,Will Little,Joe West,Eric Cooper,Andy Fletcher,72° F,0mph,In Dome,7:10 p.m. Local,Tropicana Field,turf,70,2019
8,201904020,boxscore,SEA,LAA,W,2,1,,7-1,1,up 2.0,Gonzales,Garcia,Swarzak,2:16,N,"13,547",++++,,True,Jim Reynolds,Alan Porter,Stu Scheurwater,Mark Wegner,63° F,1mph out to Leftfield,Cloudy,7:10 p.m. Local,T-Mobile Park,grass,71,2019
4,201904020,boxscore,WSN,PHI,L,2,8,,1-3,3, 3.0,Eflin,Scherzer,,3:30,N,"35,920",-,,True,Paul Emmel,Bruce Dreckman,Chad Fairchild,Mike Estabrook,45° F,8mph in from Centerfield,Overcast,7:46 p.m. Local,Nationals Park,grass,72,2019
6,201904020,boxscore,TOR,BAL,L,1,2,,2-4,4, 3.0,Cashner,Stroman,Castro,2:45,N,"12,110",---,,True,Bill Miller,Jansen Visconti,Doug Eddings,Chris Conroy,68° F,0mph,In Dome,7:09 p.m. Local,Rogers Centre,turf,73,2019
6,201904020,boxscore,MIA,NYM,L,5,6,,2-4,3, 3.0,Vargas,Urena,Wilson,3:23,N,"5,934",--,,True,Dan Iassogna,Jim Wolf,Manny Gonzalez,Sam Holbrook,82° F,10mph out to Leftfield,Cloudy,7:10 p.m. Local,Marlins Park,grass,74,2019
8,201904020,boxscore,OAK,BOS,W,1,0,,5-3,2, 2.0,Fiers,Sale,Treinen,2:42,N,"12,721",++++,,True,Greg Gibson,Tripp Gibson,Nic Lentz,Kerwin Danley,56° F,13mph out to Rightfield,Cloudy,7:07 p.m. Local,Oakland-Alameda County Coliseum,grass,75,2019
6,201904020,boxscore,LAD,SFG,W,6,5,,4-2,1,up 1.0,Ryu,Bumgarner,Jansen,2:50,N,"42,887",+,,True,Alfonso Marquez,Dan Bellino,David Rackley,Larry Vanover,62° F,6mph out to Rightfield,Sunny,7:11 p.m. Local,Dodger Stadium,grass,76,2019
5,201904020,boxscore,TEX,HOU,W,6,4,,3-2,3, 2.5,Kelley,Valdez,Leclerc,3:23,N,"17,907",+,,True,Jerry Meals,Ron Kulpa,Marty Foster,Gabe Morales,68° F,13mph in from Rightfield,Cloudy,7:07 p.m. Local,Globe Life Park in Arlington,grass,77,2019
4,201904020,boxscore,CIN,MIL,L,3,4,,1-3,4, 3.0,Chacin,Duke,Hader,3:07,N,"10,195",---,,True,Laz Diaz,Tony Randazzo,Cory Blaser,Jeff Nelson,61° F,8mph in from Centerfield,Sunny,6:42 p.m. Local,Great American Ball Park,grass,78,2019
7,201904030,boxscore,LAD,SFG,W,5,3,,5-2,1,up 1.0,Alexander,Moronta,Jansen,2:59,N,"51,170",++,,True,Dan Bellino,David Rackley,Larry Vanover,Alfonso Marquez,61° F,6mph out to Rightfield,Cloudy,7:10 p.m. Local,Dodger Stadium,grass,79,2019
7,201904030,boxscore,TBR,COL,L,0,1,11,5-2,1,up 0.5,Davis,Roe,,3:19,D,"11,093",-,,True,Joe West,Eric Cooper,Andy Fletcher,Will Little,72° F,0mph,In Dome,1:10 p.m. Local,Tropicana Field,turf,80,2019
4,201904030,boxscore,PIT,STL,L,4,5,10,1-3,3, 3.5,Gant,Burdi,Hudson,3:30,N,"23,954",--,,True,Hunter Wendelstedt,Jordan Baker,Vic Carapazza,Jerry Layne,57° F,14mph out to Leftfield,Sunny,7:07 p.m. Local,PNC Park,grass,81,2019
5,201904030,boxscore,CIN,MIL,L,0,1,,1-4,4, 4.0,Peralta,Castillo,Wilson,2:33,D,"13,439",----,,True,Tony Randazzo,Cory Blaser,Jeff Nelson,Laz Diaz,57° F,3mph from Left to Right,Sunny,12:36 p.m. Local,Great American Ball Park,grass,82,2019
7,201904030,boxscore,MIA,NYM,L,4,6,,2-5,5, 3.5,deGrom,Richards,Diaz,3:07,N,"7,486",---,,True,Jim Wolf,Manny Gonzalez,Sam Holbrook,Dan Iassogna,73° F,0mph,In Dome,6:10 p.m. Local,Marlins Park,grass,83,2019
6,201904030,boxscore,NYY,DET,L,1,2,,2-4,4, 2.5,Farmer,Green,Greene,2:37,D,"33,038",--,,True,Jeremie Rehak,Pat Hoberg,Gerry Davis,Brian Knight,64° F,27mph out to Centerfield,Sunny,4:07 p.m. Local,Yankee Stadium III,grass,84,2019
7,201904030,boxscore,TOR,BAL,W,5,3,,3-4,3, 2.0,Shoemaker,Karns,Giles,2:42,D,"11,436",+,,True,Jansen Visconti,Doug Eddings,Chris Conroy,Bill Miller,68° F,0mph,In Dome,4:08 p.m. Local,Rogers Centre,turf,85,2019
5,201904030,boxscore,CLE,CHW,L,3,8,,2-3,3, 2.0,Rodon,Kluber,,3:01,D,"10,689",-,,True,Angel Hernandez,Ed Hickox,Carlos Torres,Dana DeMuth,48° F,21mph out to Rightfield,Sunny,1:11 p.m. Local,Progressive Field,grass,86,2019
5,201904030,boxscore,KCR,MIN,L,6,7,,2-3,3, 2.0,May,Peralta,Parker,3:32,D,"10,575",---,,True,Jeff Kellogg,Brian O'Nora,James Hoye,Mark Ripperger,60° F,13mph from Right to Left,Cloudy,12:16 p.m. Local,Kauffman Stadium,grass,87,2019
6,201904030,boxscore,TEX,HOU,W,4,0,,4-2,2, 2.0,Minor,Cole,,2:39,N,"22,265",++,,True,Ron Kulpa,Marty Foster,Gabe Morales,Jerry Meals,66° F,13mph in from Rightfield,Overcast,7:07 p.m. Local,Globe Life Park in Arlington,grass,88,2019
9,201904030,boxscore,OAK,BOS,L,3,6,,5-4,3, 2.5,Barnes,Rodney,Brasier,3:21,N,"14,207",-,,True,Tripp Gibson,Nic Lentz,Kerwin Danley,Greg Gibson,58° F,11mph out to Rightfield,Cloudy,7:08 p.m. Local,Oakland-Alameda County Coliseum,grass,89,2019
5,201904030,boxscore,ATL,CHC,W,6,4,,2-3,3, 2.5,Jackson,Cishek,Vizcaino,3:32,N,"37,398",++,,True,Marvin Hudson,Adrian Johnson,Quinn Wolcott,Gary Cederstrom,70° F,4mph in from Leftfield,Cloudy,7:22 p.m. Local,SunTrust Park,grass,90,2019
5,201904030,boxscore,WSN,PHI,W-wo,9,8,,2-3,3, 2.5,Doolittle,Robertson,,3:53,D,"23,050",+,,True,Bruce Dreckman,Chad Fairchild,Mike Estabrook,Paul Emmel,62° F,16mph out to Rightfield,Sunny,1:05 p.m. Local,Nationals Park,grass,91,2019
7,201904030,boxscore,SDP,ARI,W,4,1,,4-3,2, 1.0,Lucchesi,Ray,,2:59,D,"19,376",+,,True,Chris Guccione,Lance Barrett,Mike Everitt,Bill Welke,66° F,7mph from Left to Right,Cloudy,12:41 p.m. Local,Petco Park,grass,92,2019
